session_id,label,turn,timestamp,request_kb,response_kb,growth_from_base_kb,growth_from_base_pct,latency_ms,status,msg_count_in_payload,user_message,system_prompt_chars,billing_header_chars,tools_chars,prior_history_chars,new_input_chars,cache_read_chars,cache_write_chars,cache_total_chars,cache_parse_ok,cache_read_pct,cache_write_pct,billing_header_pct
S01,small_talk,1,19:02:22.69,82.3,12.2,0.0,0.0,5427,completed,1,,15174,80,67425,0,1822,0,84421,84209,True,0.0,100.3,0.1
S01,small_talk,2,19:02:34.99,84.2,8.3,1.9,2.3,3482,completed,3,how are you,15174,80,67425,2557,11,85156,11,86119,True,98.9,0.0,0.1
S01,small_talk,3,19:02:38.48,86.7,20.2,4.4,5.4,8579,completed,5,[SUGGESTION MODE: Suggest what the user might naturally type next into Claude Co,15174,80,67425,3155,1100,85754,1100,88717,True,96.7,1.2,0.1
S01,small_talk,4,19:02:44.44,85.6,19.3,3.3,4.0,8216,completed,5,what can you help me with,15174,80,67425,3155,25,85754,25,87606,True,97.9,0.0,0.1
S01,small_talk,5,19:02:52.66,89.4,44.4,7.0,8.6,25813,completed,7,[SUGGESTION MODE: Suggest what the user might naturally type next into Claude Co,15174,80,67425,4756,1100,87355,1100,91418,True,95.6,1.2,0.1
S01,small_talk,6,19:03:40.06,88.3,5.2,5.9,7.2,2602,completed,7,ok cool thanks,15174,80,67425,4756,14,87355,14,90296,True,96.7,0.0,0.1
S01,small_talk,7,19:03:42.68,90.2,14.7,7.9,9.6,6066,completed,9,[SUGGESTION MODE: Suggest what the user might naturally type next into Claude Co,15174,80,67425,5050,1100,87649,1100,92329,True,94.9,1.2,0.1
S02,factual_qa,1,19:05:45.38,82.4,27.8,0.0,0.0,12510,completed,1,what's the difference between process.nextTick and setImmediate in Node.js,15174,80,67425,0,1894,0,84493,84281,True,0.0,100.3,0.1
S02,factual_qa,2,19:05:57.91,87.7,24.2,5.4,6.5,9669,completed,3,[SUGGESTION MODE: Suggest what the user might naturally type next into Claude Co,15174,80,67425,4312,1100,86911,1100,89748,True,96.8,1.2,0.1
S02,factual_qa,3,19:06:08.27,86.7,25.2,4.3,5.2,11110,completed,3,which one should I use for recursive async operations,15174,80,67425,4312,53,86911,53,88665,True,98.0,0.1,0.1
S02,factual_qa,4,19:06:19.39,91.2,26.0,8.8,10.7,10475,completed,5,[SUGGESTION MODE: Suggest what the user might naturally type next into Claude Co,15174,80,67425,6472,1100,89071,1100,93268,True,95.5,1.2,0.1
S02,factual_qa,5,19:06:21.80,90.1,46.4,7.7,9.4,20513,completed,5,can you show me a code example of each,15174,80,67425,6472,38,89071,38,92170,True,96.6,0.0,0.1
S02,factual_qa,6,19:06:42.33,97.2,37.6,14.8,18.0,20303,completed,7,[SUGGESTION MODE: Suggest what the user might naturally type next into Claude Co,15174,80,67425,11456,1100,94055,1100,99394,True,94.6,1.1,0.1
S02,factual_qa,7,19:06:43.80,96.1,69.0,13.7,16.6,30925,completed,7,why does nextTick starve the event loop,15174,80,67425,11456,39,94055,39,98297,True,95.7,0.0,0.1
S02,factual_qa,8,19:07:14.75,104.8,46.8,22.5,27.3,29654,completed,9,[SUGGESTION MODE: Suggest what the user might naturally type next into Claude Co,15174,80,67425,17272,1100,99871,1100,106398,True,93.9,1.0,0.1
S03,single_file_read,1,19:08:52.01,82.4,7.4,0.0,0.0,4818,completed,1,read scripts/token_counter.py and tell me what it does,15174,80,67425,0,1874,0,84473,84261,True,0.0,100.3,0.1
S03,single_file_read,2,19:08:56.86,90.4,18.4,8.0,9.8,8795,completed,3,read scripts/token_counter.py and tell me what it does,15174,80,67425,2195,6489,84794,6489,92241,True,91.9,7.0,0.1
S03,single_file_read,3,19:09:05.67,93.0,19.4,10.6,12.9,8375,completed,5,[SUGGESTION MODE: Suggest what the user might naturally type next into Claude Co,15174,80,67425,10033,1100,92632,1100,94861,True,97.7,1.2,0.1
S03,single_file_read,4,19:09:17.90,91.9,56.0,9.5,11.6,24968,completed,5,are there any obvious issues with it,15174,80,67425,10033,36,92632,36,93761,True,98.8,0.0,0.1
S03,single_file_read,5,19:09:42.88,100.8,23.0,18.5,22.4,9384,completed,7,[SUGGESTION MODE: Suggest what the user might naturally type next into Claude Co,15174,80,67425,13975,1100,96574,1100,102892,True,93.9,1.1,0.1
S03,single_file_read,6,19:10:02.81,99.8,34.6,17.4,21.1,14632,completed,7,what would happen if I passed a payload with a datetime object in it,15174,80,67425,13975,68,96574,68,101824,True,94.8,0.1,0.1
S03,single_file_read,7,19:10:17.47,105.5,38.9,23.1,28.1,17568,completed,9,[SUGGESTION MODE: Suggest what the user might naturally type next into Claude Co,15174,80,67425,16683,1100,99282,1100,107650,True,92.2,1.0,0.1
S04,bug_hunt,1,19:16:15.16,82.4,8.5,0.0,0.0,3772,completed,1,find all the bugs across every file in the scripts folder,15174,80,67425,0,1877,0,84476,84264,True,0.0,100.3,0.1
S04,bug_hunt,2,19:16:18.98,84.2,8.3,1.8,2.2,3244,completed,3,find all the bugs across every file in the scripts folder,15174,80,67425,2429,246,85028,246,86165,True,98.7,0.3,0.1
S04,bug_hunt,3,19:16:22.26,104.3,33.4,21.9,26.6,16464,completed,5,find all the bugs across every file in the scripts folder,15174,80,67425,3027,17979,85626,17979,106009,True,80.8,17.0,0.1
S04,bug_hunt,4,19:16:38.74,107.8,22.0,25.4,30.8,9767,completed,7,[SUGGESTION MODE: Suggest what the user might naturally type next into Claude Co,15174,80,67425,23253,1100,105852,1100,109553,True,96.6,1.0,0.1
S04,bug_hunt,5,19:16:52.41,106.7,60.5,24.3,29.5,17653,completed,7,start with the most critical one and fix it,15174,80,67425,23253,43,105852,43,108460,True,97.6,0.0,0.1
S04,bug_hunt,6,19:17:15.28,112.7,10.6,30.4,36.9,9306,completed,9,start with the most critical one and fix it,15174,80,67425,26888,122,109487,122,114633,True,95.5,0.1,0.1
S04,bug_hunt,7,19:17:24.60,114.8,11.7,32.5,39.4,6306,completed,11,[SUGGESTION MODE: Suggest what the user might naturally type next into Claude Co,15174,80,67425,27896,1100,110495,1100,116780,True,94.6,0.9,0.1
S04,bug_hunt,8,19:17:32.26,114.2,14.1,31.9,38.7,5412,completed,11,commit it,15174,80,67425,27896,526,110495,526,116199,True,95.1,0.5,0.1
S04,bug_hunt,9,19:17:38.69,118.0,14.7,35.7,43.3,5825,completed,13,commit it,15174,80,67425,29045,1875,111644,1875,120070,True,93.0,1.6,0.1
S04,bug_hunt,10,19:17:46.52,119.3,3.5,37.0,44.9,2060,completed,15,commit it,15174,80,67425,31594,196,114193,196,121385,True,94.1,0.2,0.1
